iter	Cox
0	-260.721842
1	-250.659086
2	-243.4355859
3	-238.0277217
4	-232.9488718
5	-228.0539467
6	-223.796776
7	-220.1677697
8	-216.7778443
9	-212.9754125
10	-210.3045814
11	-207.4917323
12	-205.6569966
13	-202.30562
14	-199.6483012
15	-197.5348498
16	-195.6255043
17	-193.2173054
18	-191.3766245
19	-189.727369
20	-187.9189376
21	-186.3107371
22	-184.6114478
23	-184.0247521
24	-181.3573222
25	-180.1340941
26	-178.5337265
27	-177.3579726
28	-176.2961824
29	-175.2895288
30	-174.2183236
31	-173.6090829
32	-172.3938759
33	-171.2506041
34	-169.9219942
35	-168.6932334
36	-167.9438964
37	-166.8620352
38	-166.0837841
39	-165.230573
40	-164.5594756
41	-164.0962121
42	-163.4221254
43	-162.4910294
44	-161.8482938
45	-161.4895908
46	-160.2466644
47	-159.5580446
48	-158.8711549
49	-158.2740025
50	-157.57779
51	-157.0654085
52	-156.2202778
53	-155.7945249
54	-154.9144245
55	-154.8657862
56	-154.0627557
57	-153.6192279
58	-153.0453062
59	-152.4084087
60	-151.238692
61	-150.9559601
62	-150.4469969
63	-150.1603665
64	-149.712187
65	-149.3477521
66	-148.8856382
67	-148.2674414
68	-147.891616
69	-147.606841
70	-147.1530003
71	-146.8440059
72	-146.3528699
73	-146.059901
74	-145.596436
75	-145.3381408
76	-144.953715
77	-144.6012825
78	-143.8727198
79	-143.5164082
80	-143.2764806
81	-142.5635103
82	-142.2419615
83	-142.0266352
84	-141.853204
85	-141.2186678
86	-140.7194672
87	-140.2054456
88	-140.0409171
89	-139.7775305
90	-139.6792971
91	-139.3489803
92	-139.0472896
93	-138.5158052
94	-138.2931617
95	-137.9856273
96	-137.9159422
97	-137.7091411
98	-137.5151069
99	-136.993408
100	-136.6886839
101	-136.3095813
102	-136.0869116
103	-135.6899391
104	-135.5016974
105	-135.0615984
106	-134.9228394
107	-134.7769412
108	-134.5269903
109	-134.3235663
110	-134.0242549
111	-133.5988696
112	-133.198984
113	-132.8132695
114	-132.6845408
115	-132.0210227
116	-131.9822518
117	-131.6431911
118	-131.2697874
119	-131.1571251
120	-130.8474064
121	-130.6749614
122	-130.2861238
123	-129.9287557
124	-129.5397666
125	-129.3975962
126	-129.2740916
127	-128.8865822
128	-128.8454762
129	-128.5323447
130	-128.3199476
131	-128.2456525
132	-127.8946568
133	-127.6480028
134	-127.4873526
135	-127.2793671
136	-127.2570422
137	-127.0282729
138	-126.7983186
139	-126.4893728
140	-126.2569665
141	-125.9811012
142	-125.6755611
143	-125.2255169
144	-124.9164656
145	-124.6458068
146	-124.1866541
147	-123.9240328
148	-123.7322211
149	-123.4612206
150	-123.1697634
151	-122.4020888
152	-122.0578733
153	-121.9568636
154	-121.7007066
155	-121.3703456
156	-121.0826673
157	-120.9002125
158	-120.576547
159	-120.2452632
160	-119.9065577
161	-119.6784882
162	-119.5497803
163	-119.391726
164	-118.9213689
165	-118.3126661
166	-118.0215416
167	-117.3718524
168	-117.0676525
169	-116.8831179
170	-116.3105894
171	-116.0746432
172	-115.9614095
173	-115.7546775
174	-115.4388926
175	-115.1923163
176	-114.7874453
177	-114.4666644
178	-114.0657035
179	-113.7478903
180	-113.4683694
181	-113.038392
182	-112.6296684
183	-112.2671775
184	-111.8748181
185	-111.5169541
186	-111.2263718
187	-110.8761573
188	-110.6499678
189	-110.321447
190	-109.9514498
191	-109.6750359
192	-109.3851398
193	-109.0353987
194	-108.6625812
195	-108.3319526
196	-108.056119
197	-107.7185107
198	-107.4366463
199	-107.0746013
200	-106.7106142
201	-106.490349
202	-106.1304847
203	-105.8104625
