iter	Passed	Remaining
0	0	1196
1	3	2256
2	4	1841
3	4	1632
4	5	1474
5	6	1534
6	7	1369
7	7	1315
8	8	1282
9	9	1251
10	10	1229
11	11	1254
12	11	1204
13	12	1179
14	13	1153
15	13	1128
16	14	1104
17	14	1085
18	15	1068
19	15	1053
20	16	1040
21	17	1032
22	18	1037
23	18	1027
24	19	1018
25	19	1007
26	20	997
27	21	990
28	21	985
29	22	981
30	23	973
31	23	960
32	24	953
33	24	946
34	25	941
35	25	937
36	26	938
37	27	932
38	27	931
39	28	927
40	29	926
41	30	930
42	30	931
43	31	929
44	32	932
45	32	927
46	33	918
47	33	914
48	34	911
49	35	912
50	35	908
51	36	904
52	36	898
53	37	890
54	37	884
55	38	874
56	38	868
57	38	857
58	39	854
59	40	854
60	40	854
61	41	851
62	42	860
63	43	859
64	43	855
65	44	853
66	44	850
67	45	853
68	47	870
69	48	876
70	48	875
71	49	873
72	50	871
73	51	873
74	51	875
75	52	879
76	53	878
77	54	875
78	54	874
79	55	874
80	56	871
81	56	871
82	58	890
83	59	894
84	60	895
85	61	893
86	62	894
87	63	903
88	64	907
89	65	907
90	65	905
91	66	904
92	67	905
93	68	906
94	69	908
95	70	908
96	70	906
97	71	904
98	72	903
99	72	901
100	73	899
101	74	899
102	74	896
103	75	901
104	76	898
105	76	895
106	77	893
107	78	890
108	78	891
109	79	891
110	81	901
111	82	901
112	83	903
113	83	903
114	85	907
115	85	907
116	86	905
117	87	907
118	88	911
119	89	912
120	90	911
121	91	916
122	92	914
123	93	915
124	95	926
125	95	923
126	96	920
127	97	918
128	97	914
129	98	914
130	98	912
131	99	907
132	99	905
133	100	903
134	101	901
135	101	898
136	101	895
137	102	893
138	103	895
139	104	897
140	105	896
141	106	896
142	106	894
143	107	892
144	108	890
145	109	897
146	110	895
147	110	893
148	111	892
149	112	891
150	113	890
151	113	889
152	114	886
153	114	883
154	115	880
155	115	878
156	117	882
157	117	881
158	118	880
159	119	882
160	120	880
161	120	878
162	121	875
163	121	873
164	122	872
165	123	873
166	124	873
167	125	872
168	126	874
169	126	872
170	127	870
171	128	869
172	128	867
173	129	865
174	129	863
175	130	861
176	130	859
177	131	856
178	131	854
179	132	852
180	132	851
181	133	849
182	134	847
183	134	846
184	135	845
185	136	844
186	136	843
187	137	841
188	137	840
189	138	838
190	139	837
191	139	835
192	140	834
193	141	837
194	142	837
195	143	837
196	145	841
197	145	839
198	146	838
199	147	843
200	149	844
201	149	845
202	150	843
203	151	841
204	151	839
205	152	837
206	152	836
207	153	834
208	153	833
209	154	832
210	155	831
211	155	829
212	156	828
213	157	826
214	157	825
215	158	824
216	159	827
217	160	826
218	161	825
219	161	823
220	162	822
221	163	821
222	163	820
223	164	821
224	166	826
225	167	825
226	168	824
227	168	824
228	169	823
229	170	821
230	170	820
231	172	822
232	172	821
233	173	820
234	174	819
235	174	818
236	175	817
237	176	815
238	177	819
239	178	819
240	179	819
241	180	817
242	180	816
243	181	814
244	181	813
245	182	813
246	184	816
247	185	814
248	185	813
249	186	811
250	186	809
251	187	808
252	188	807
253	189	809
254	190	810
255	191	809
256	191	807
257	192	805
258	192	804
259	193	802
260	193	801
261	194	801
262	195	801
263	196	799
264	196	798
265	197	796
266	197	794
267	198	793
268	198	791
269	199	790
270	200	792
271	201	791
272	202	790
273	202	788
274	204	793
275	205	792
276	206	791
277	206	790
278	207	788
279	208	787
280	208	786
281	209	784
282	209	783
283	210	781
284	210	780
285	211	778
286	211	777
287	212	776
288	213	776
289	214	774
290	214	773
291	215	771
292	215	770
293	216	769
294	216	767
295	217	766
296	220	772
297	220	772
298	221	771
299	222	770
300	222	768
301	223	767
302	224	767
303	224	766
304	225	764
305	226	763
306	226	763
307	227	762
308	228	761
309	228	759
310	229	758
311	229	757
312	230	757
313	231	756
314	232	755
315	232	754
316	233	753
317	234	752
318	234	751
319	235	750
